study_id,site_id,site_name,investigator,country,region,lat,lon,status,activation_date,days_to_activate,patients_screened,patients_enrolled,screen_fail_rate,enrollment_rate_per_month,target_enrollment,quality_score,query_rate_per_100_crfs,protocol_deviations,major_deviations,monitoring_visits_completed,monitoring_visits_planned,last_monitoring_visit
BIO-2028-747,SITE-1242,Medical Research Clinic - India,Dr. Mueller,India,Asia-Pacific,20.03118285545198,79.4762615728659,Active,2023-09-02,88,8,6,28.7,1.22,12,0.838,4.7,2,1,2,15,2026-01-24
BIO-2028-747,SITE-1243,Community Health Network - Canada,Dr. Patel,Canada,North America,58.988300005447684,-105.52189842844479,Active,2023-09-06,92,12,10,17.5,1.87,15,0.583,7.3,2,1,3,12,2026-01-21
BIO-2028-747,SITE-1244,Clinical Research Center - Spain,Dr. Nakamura,Spain,Europe,39.74177328327662,-1.353869902196731,Active,2023-09-26,112,12,8,37.6,1.42,28,0.882,2.9,1,0,11,12,2026-01-10
BIO-2028-747,SITE-1245,Academic Health System - Canada,Dr. Nakamura,Canada,North America,57.67416728224304,-108.43674306766131,Active,2023-08-23,78,16,14,14.6,2.62,12,0.761,4.3,3,0,10,16,2026-01-25
BIO-2028-747,SITE-1246,Institute of Clinical Sciences - United States,Dr. Garcia,United States,North America,38.220322855122994,-97.73181721258278,Active,2023-10-25,141,0,0,24.8,0.0,21,0.734,3.6,1,1,6,17,2026-01-11
BIO-2028-747,SITE-1247,Health Sciences Center - United Kingdom,Dr. Petrov,United Kingdom,Europe,54.98124517120263,-1.7320901705743785,Active,2023-07-06,30,13,13,5.0,1.41,15,0.828,1.3,2,0,2,14,2026-01-31
BIO-2028-747,SITE-1248,General Hospital - United States,Dr. Martinez,United States,North America,42.595020012845495,-100.4512900726998,Active,2023-09-05,91,0,0,18.6,0.0,17,1.0,2.4,2,0,4,10,2026-02-12
BIO-2028-747,SITE-1249,Community Health Network - United Kingdom,Dr. Nakamura,United Kingdom,Europe,54.49667870757251,-5.778179641115226,Active,2023-09-09,95,20,17,15.5,2.14,18,0.74,4.0,0,0,8,12,2026-02-11
BIO-2029-132,SITE-1250,Medical Research Clinic - Brazil,Dr. Rossi,Brazil,Latin America,-11.390746954822566,-54.01288537282569,Pending,2023-09-15,123,0,0,25.6,0.18,13,0.579,8.6,0,1,11,6,2026-02-11
BIO-2029-132,SITE-1251,Community Health Network - Spain,Dr. O'Brien,Spain,Europe,42.31540527261452,-3.480846349639311,Pending,2023-09-08,116,18,14,24.5,2.15,14,0.785,14.7,5,1,9,14,2025-12-24
BIO-2029-132,SITE-1252,Health Sciences Center - United States,Dr. Brown,United States,North America,41.936921731967956,-100.90457401048191,Active,2023-09-03,111,8,7,17.1,0.77,15,0.755,0.9,1,0,9,13,2025-12-25
BIO-2030-894,SITE-1253,Health Sciences Center - Argentina,Dr. Martinez,Argentina,Latin America,-38.458125063541026,-61.51928998878153,Active,2023-05-15,130,28,24,16.6,2.71,120,0.689,5.8,2,1,1,11,2026-01-27
BIO-2030-894,SITE-1254,Biomedical Research Institute - Argentina,Dr. Yamamoto,Argentina,Latin America,-37.26250160680062,-61.33614158284179,Active,2023-03-30,84,7,5,32.3,1.72,77,0.652,0.0,2,0,3,6,2026-01-23
BIO-2030-894,SITE-1255,Academic Health System - Poland,Dr. Johnson,Poland,Europe,54.402460676818876,19.600557290864547,Active,2023-05-03,118,2,2,15.7,0.58,175,0.748,0.9,1,0,10,11,2026-02-06
BIO-2030-894,SITE-1256,Medical Research Clinic - France,Dr. Martinez,France,Europe,48.68816736202235,2.161261957536718,Active,2023-03-08,62,3,3,11.9,0.98,71,0.705,2.1,2,0,6,15,2026-01-22
BIO-2030-894,SITE-1257,Center for Advanced Medicine - Argentina,Dr. Silva,Argentina,Latin America,-36.86076499664256,-66.02850639616278,Active,2023-04-13,98,14,11,23.3,1.67,120,0.915,3.9,2,1,9,8,2026-02-02
BIO-2030-894,SITE-1258,Regional Research Institute - Spain,Dr. Anderson,Spain,Europe,40.10038502249455,-5.4716832763000065,Active,2023-04-17,102,30,25,18.6,3.27,152,0.759,3.0,1,0,2,6,2026-02-05
BIO-2030-894,SITE-1259,Academic Health System - Argentina,Dr. Singh,Argentina,Latin America,-37.543160453482955,-61.903525954491684,Pending,2023-04-06,91,4,4,10.9,1.11,158,0.473,7.4,1,0,6,13,2026-02-12
BIO-2030-894,SITE-1260,Medical Research Clinic - Poland,Dr. Martinez,Poland,Europe,53.63367074360956,20.19071298673073,Pending,2023-03-23,77,29,23,20.8,4.12,158,0.825,5.6,1,1,4,16,2026-01-08
BIO-2030-894,SITE-1261,Comprehensive Care Center - Japan,Dr. Brown,Japan,Asia-Pacific,39.03247601284735,136.15495450396295,Active,2023-02-28,54,8,7,19.9,1.64,122,1.0,7.5,1,0,7,12,2026-01-21
BIO-2030-894,SITE-1262,Institute of Clinical Sciences - Germany,Dr. O'Brien,Germany,Europe,50.88285894804626,8.443864397130822,Active,2023-04-29,114,0,0,26.0,0.0,68,0.615,7.6,1,1,4,8,2026-01-25
BIO-2030-894,SITE-1263,Memorial Cancer Center - Spain,Dr. Brown,Spain,Europe,40.945197604370684,-2.7836312573366557,Active,2023-03-30,84,14,10,29.7,2.78,114,0.695,4.2,2,0,6,17,2026-01-04
BIO-2030-894,SITE-1264,General Hospital - Argentina,Dr. Martinez,Argentina,Latin America,-35.68978556165678,-64.68167490396088,Pending,2023-02-04,30,10,9,17.7,2.29,183,0.752,2.0,1,0,7,13,2026-01-10
BIO-2030-894,SITE-1265,Health Sciences Center - United Kingdom,Dr. Chen,United Kingdom,Europe,52.76034039673613,-3.8422136955794444,Active,2023-03-05,59,13,8,39.5,1.24,155,0.979,4.8,4,0,9,8,2026-02-02
BIO-2030-894,SITE-1266,National Medical Center - Spain,Dr. Chen,Spain,Europe,38.53960846196612,-3.9357269719103476,Active,2023-04-12,97,0,0,21.5,0.0,99,0.825,4.8,1,0,4,11,2026-01-01
BIO-2030-894,SITE-1267,Comprehensive Care Center - Germany,Dr. Garcia,Germany,Europe,51.12231660753974,12.381217306074573,Active,2023-04-05,90,10,8,23.6,1.07,111,0.99,7.2,1,0,8,16,2026-01-19
BIO-2030-894,SITE-1268,Memorial Cancer Center - Germany,Dr. Anderson,Germany,Europe,48.94304381865156,10.057706064487597,Active,2023-06-15,161,10,7,32.3,1.45,179,0.831,7.1,0,0,8,12,2026-01-02
BIO-2030-894,SITE-1269,Biomedical Research Institute - United States,Dr. Taylor,United States,North America,37.9949413855824,-98.95123491201153,Active,2023-04-13,98,23,17,27.3,3.35,188,0.826,5.3,0,0,2,11,2025-12-17
BIO-2030-894,SITE-1270,Academic Health System - Spain,Dr. Dubois,Spain,Europe,38.08845175002915,-5.943174051903088,Active,2023-02-15,41,39,32,18.1,4.63,102,0.742,3.7,4,1,8,16,2026-01-24
BIO-2030-894,SITE-1271,Biomedical Research Institute - Argentina,Dr. Schmidt,Argentina,Latin America,-37.25336477967689,-61.30084168245835,Pending,2023-03-19,73,5,4,21.6,1.49,131,0.494,3.3,1,0,2,17,2026-01-17
BIO-2030-894,SITE-1272,General Hospital - Canada,Dr. Martinez,Canada,North America,55.25873648029158,-106.86512744679837,Closed,2023-03-28,82,16,14,16.1,2.26,81,0.858,9.2,3,0,2,9,2025-12-27
BIO-2030-894,SITE-1273,Biomedical Research Institute - Canada,Dr. Kim,Canada,North America,53.58038041517379,-106.45328092093285,Active,2023-02-22,48,46,38,19.1,4.05,77,0.513,7.5,1,0,4,9,2026-01-16
BIO-2030-894,SITE-1274,Metropolitan Hospital - India,Dr. O'Brien,India,Asia-Pacific,19.102152377425135,79.91589249818102,Pending,2023-04-26,111,15,13,16.1,1.55,127,0.554,9.0,0,0,3,9,2025-12-17
BIO-2030-894,SITE-1275,Biomedical Research Institute - United Kingdom,Dr. Dubois,United Kingdom,Europe,52.30960712529417,-4.700685497141995,Pending,2023-02-28,54,14,13,7.5,2.26,145,0.768,2.5,2,1,9,7,2025-12-20
BIO-2030-894,SITE-1276,Regional Research Institute - United Kingdom,Dr. Fischer,United Kingdom,Europe,52.767273934547745,-2.1591784227369692,Pending,2023-05-29,144,13,11,20.9,1.99,102,0.601,6.6,1,0,8,13,2026-02-10
BIO-2031-135,SITE-1277,University Medical Center - Canada,Dr. Brown,Canada,North America,54.65035588722222,-104.38844061776135,Pending,2023-09-27,99,21,13,40.3,2.31,11,0.386,3.9,1,0,7,12,2026-01-17
BIO-2031-135,SITE-1278,General Hospital - India,Dr. Brown,India,Asia-Pacific,22.203024310694367,81.73613245956652,Active,2023-08-13,54,16,12,27.9,2.02,5,0.674,3.5,0,0,10,7,2026-01-05
BIO-2031-135,SITE-1279,Translational Research Hospital - Spain,Dr. Johnson,Spain,Europe,41.51427661294808,-1.5461167172666794,Active,2023-08-07,48,6,5,22.4,0.71,12,0.796,11.2,2,0,4,14,2026-01-20
BIO-2031-135,SITE-1280,Regional Research Institute - Argentina,Dr. Schmidt,Argentina,Latin America,-36.93334699297468,-65.68811890515569,Active,2023-08-14,55,18,15,20.3,3.43,7,0.528,2.5,2,1,4,10,2026-02-02
BIO-2031-135,SITE-1281,Center for Advanced Medicine - Canada,Dr. Mueller,Canada,North America,53.53641757066318,-104.55921175764335,Active,2023-10-05,107,22,14,37.2,1.82,10,0.828,12.2,2,0,10,15,2025-12-24
BIO-2031-135,SITE-1282,Comprehensive Care Center - Brazil,Dr. Kim,Brazil,Latin America,-14.388389139270942,-51.35219310646053,Pending,2023-07-28,38,15,10,36.2,1.25,12,0.671,6.8,3,0,6,10,2026-01-27
BIO-2031-135,SITE-1283,General Hospital - France,Dr. O'Brien,France,Europe,48.32079331921532,3.6242378321840283,Pending,2023-09-12,84,3,3,22.4,1.18,8,0.523,4.3,2,0,3,14,2026-02-08
BIO-2031-135,SITE-1284,Biomedical Research Institute - India,Dr. Chen,India,Asia-Pacific,18.558496761403667,76.88438152959202,Active,2023-09-27,99,33,25,25.5,2.47,11,0.598,1.4,0,1,10,9,2026-01-08
BIO-2031-135,SITE-1285,Memorial Cancer Center - Japan,Dr. Silva,Japan,Asia-Pacific,36.004324012687555,136.9134776974318,Closed,2023-07-28,38,13,9,32.7,1.33,7,0.592,6.3,5,0,11,6,2025-12-26
BIO-2031-135,SITE-1286,General Hospital - Argentina,Dr. Williams,Argentina,Latin America,-36.54343506922311,-61.7990841096495,Pending,2023-09-08,80,7,6,23.1,1.28,11,0.525,9.1,2,0,6,11,2025-12-25
BIO-2031-135,SITE-1287,Center for Advanced Medicine - Argentina,Dr. Lee,Argentina,Latin America,-37.886374992962956,-63.05188977568074,Active,2023-08-01,42,23,19,17.9,2.09,11,0.864,3.6,1,0,9,8,2026-01-13
BIO-2031-135,SITE-1288,Comprehensive Care Center - Spain,Dr. Lopez,Spain,Europe,39.28971237151256,-4.861607209828254,Active,2023-08-04,45,5,3,46.8,0.53,7,0.581,8.3,2,0,9,10,2026-01-12
BIO-2031-135,SITE-1289,Regional Research Institute - France,Dr. Mueller,France,Europe,48.32673049911242,-0.7706932038784879,Pending,2023-11-13,146,0,0,15.4,0.58,5,0.55,4.7,0,0,1,8,2026-02-11
BIO-2031-135,SITE-1290,Biomedical Research Institute - India,Dr. Tanaka,India,Asia-Pacific,22.41148371701676,81.00893508987929,Active,2023-09-05,77,9,7,23.3,1.77,8,0.389,0.6,1,0,5,16,2026-01-24
BIO-2031-135,SITE-1291,Teaching Hospital - South Korea,Dr. Johnson,South Korea,Asia-Pacific,36.824465317734486,127.7695436638793,Active,2023-08-21,62,6,4,40.2,0.39,5,0.867,8.5,2,0,1,15,2026-01-16
BIO-2031-135,SITE-1292,Comprehensive Care Center - Japan,Dr. Yamamoto,Japan,Asia-Pacific,37.94340531614694,136.65767217012225,Pending,2023-07-30,40,4,3,38.7,1.6,5,0.656,7.4,1,0,4,16,2025-12-22
BIO-2031-135,SITE-1293,Translational Research Hospital - Brazil,Dr. Anderson,Brazil,Latin America,-13.737615728645784,-51.04423238873441,Active,2023-09-22,94,12,9,25.4,1.96,7,0.392,7.2,2,0,9,9,2025-12-21
BIO-2031-135,SITE-1294,Comprehensive Care Center - Canada,Dr. Chen,Canada,North America,54.53969342234179,-108.79972567738744,Pending,2023-09-26,98,14,10,32.4,2.13,9,0.759,5.9,1,0,9,7,2026-02-10
BIO-2031-135,SITE-1295,Teaching Hospital - Brazil,Dr. Williams,Brazil,Latin America,-11.784747310942281,-54.46016509131768,Pending,2023-10-31,133,8,6,31.7,1.15,6,0.588,9.8,0,0,4,6,2026-01-26
BIO-2031-135,SITE-1296,Institute of Clinical Sciences - South Korea,Dr. Yamamoto,South Korea,Asia-Pacific,36.126152771545826,128.6817483246038,Active,2023-09-17,89,5,4,29.6,0.7,8,0.945,3.3,2,1,9,7,2026-01-19
BIO-2031-135,SITE-1297,Institute of Clinical Sciences - South Korea,Dr. Yamamoto,South Korea,Asia-Pacific,37.57109528036998,125.4860877119028,Active,2023-09-17,89,14,13,10.5,2.15,4,0.761,8.1,1,3,2,7,2026-01-17
BIO-2031-135,SITE-1298,Comprehensive Care Center - South Korea,Dr. Lopez,South Korea,Asia-Pacific,35.80510698993558,128.58861276356643,Active,2023-08-31,72,29,23,21.8,2.87,10,0.752,6.9,0,0,11,11,2026-01-29
BIO-2031-135,SITE-1299,Medical Research Clinic - India,Dr. Schmidt,India,Asia-Pacific,23.576982159021583,77.04726310648046,Active,2023-09-15,87,12,9,27.0,1.82,9,0.706,9.8,1,1,9,15,2026-02-03
BIO-2031-135,SITE-1300,Health Sciences Center - Spain,Dr. Garcia,Spain,Europe,40.60421667922794,-1.4232238389286467,Active,2023-08-29,70,10,9,16.1,1.86,9,0.853,5.9,0,0,6,6,2025-12-18
BIO-2031-135,SITE-1301,University Medical Center - Argentina,Dr. O'Brien,Argentina,Latin America,-37.08024276378312,-62.077117722129785,Active,2023-09-16,88,16,12,26.7,1.74,8,1.0,3.6,0,1,1,9,2026-01-25
BIO-2031-135,SITE-1302,Community Health Network - Brazil,Dr. Petrov,Brazil,Latin America,-12.041513165889597,-52.15048011140971,Active,2023-10-25,127,3,3,17.0,0.52,6,0.608,6.0,1,1,11,17,2025-12-24
BIO-2031-135,SITE-1303,National Medical Center - South Korea,Dr. Mueller,South Korea,Asia-Pacific,33.57831780700706,129.24455062023995,Active,2023-07-30,40,9,6,36.3,1.09,12,0.661,11.2,0,0,3,12,2026-02-09
BIO-2031-135,SITE-1304,Clinical Research Center - India,Dr. Johnson,India,Asia-Pacific,22.289812672659266,76.52107768203679,Active,2023-08-21,62,6,5,23.1,0.82,5,0.522,7.7,2,3,7,16,2025-12-28
BIO-2031-135,SITE-1305,Metropolitan Hospital - India,Dr. Brown,India,Asia-Pacific,20.863267526966705,77.93132416462231,Active,2023-10-06,108,15,11,29.3,1.71,10,0.825,5.1,1,0,7,15,2026-01-19
BIO-2031-135,SITE-1306,Health Sciences Center - Argentina,Dr. Williams,Argentina,Latin America,-39.86224574778469,-65.45751902385054,Active,2023-09-29,101,10,8,25.9,1.38,4,0.595,7.6,0,0,8,11,2026-01-07
BIO-2031-135,SITE-1307,Community Health Network - Argentina,Dr. O'Brien,Argentina,Latin America,-38.13070988382364,-64.89895685837436,Pending,2023-09-05,77,0,0,6.0,0.0,12,0.629,10.7,0,1,5,13,2026-02-07
BIO-2031-135,SITE-1308,Biomedical Research Institute - India,Dr. Schmidt,India,Asia-Pacific,18.031884910779933,77.44008354990159,Active,2023-09-23,95,19,14,26.8,1.99,9,0.666,7.7,3,0,1,7,2026-01-07
BIO-2031-135,SITE-1309,Institute of Clinical Sciences - Brazil,Dr. Anderson,Brazil,Latin America,-13.743044021044202,-51.5779329987634,Active,2023-10-06,108,4,4,11.0,0.92,5,0.766,4.0,0,0,5,15,2026-01-28
BIO-2031-135,SITE-1310,Biomedical Research Institute - Spain,Dr. Lopez,Spain,Europe,41.70031151460585,-2.4640575822280395,Active,2023-07-23,33,11,7,37.9,1.48,7,0.755,2.2,0,1,4,16,2026-01-07
BIO-2031-135,SITE-1311,Biomedical Research Institute - Argentina,Dr. Kim,Argentina,Latin America,-40.41834947493773,-64.42339720117515,Active,2023-10-21,123,0,0,21.4,0.0,10,1.0,4.3,0,0,3,11,2026-01-04
BIO-2031-135,SITE-1312,Center for Advanced Medicine - France,Dr. Yamamoto,France,Europe,44.17499049284665,4.570203153120621,Active,2023-10-23,125,24,18,25.3,3.48,6,0.79,1.7,1,1,2,6,2026-01-13
BIO-2031-135,SITE-1313,Center for Advanced Medicine - Spain,Dr. Lee,Spain,Europe,39.193179132721205,-5.542095952365829,Active,2023-07-20,30,10,10,5.0,3.05,10,0.811,12.9,1,0,5,9,2025-12-17
BIO-2031-135,SITE-1314,Institute of Clinical Sciences - Japan,Dr. Chen,Japan,Asia-Pacific,38.58047929944647,136.4642399904494,Active,2023-09-23,95,17,13,26.8,1.77,7,0.577,10.2,0,0,10,15,2026-02-09
BIO-2031-135,SITE-1315,Community Health Network - Brazil,Dr. Taylor,Brazil,Latin America,-15.45566615427601,-48.997608876017964,Closed,2023-07-31,41,20,17,15.9,2.56,7,0.941,2.1,2,0,1,11,2026-01-30
BIO-2031-135,SITE-1316,Medical Research Clinic - Brazil,Dr. Chen,Brazil,Latin America,-14.216996315693885,-50.89550681679701,Active,2023-08-03,44,19,15,22.7,2.37,12,0.857,0.8,1,1,3,16,2025-12-25
BIO-2031-135,SITE-1317,Metropolitan Hospital - United States,Dr. Chen,United States,North America,41.90190624894559,-100.22289948376985,Active,2023-08-25,66,23,20,14.0,1.91,9,0.365,4.7,1,0,2,10,2026-01-11
BIO-2031-135,SITE-1318,Translational Research Hospital - India,Dr. Schmidt,India,Asia-Pacific,22.09016500057172,80.6035715307168,Active,2023-10-06,108,27,20,26.6,3.79,11,0.591,4.7,3,0,10,8,2026-01-28
BIO-2031-135,SITE-1319,Memorial Cancer Center - Canada,Dr. Patel,Canada,North America,57.73069763441009,-106.79255509722753,Active,2023-08-26,67,6,4,34.5,0.7,13,0.714,8.5,0,1,1,17,2026-01-19
BIO-2031-135,SITE-1320,Regional Research Institute - France,Dr. Rossi,France,Europe,46.64176714765745,4.129213467338117,Active,2023-08-21,62,2,2,26.4,0.23,10,0.841,5.5,1,0,7,6,2026-01-13
BIO-2031-135,SITE-1321,Regional Research Institute - Spain,Dr. Nakamura,Spain,Europe,42.8998586161635,-2.467020088392257,Active,2023-09-04,76,1,1,14.0,0.06,8,0.671,7.3,1,0,9,14,2026-02-04
BIO-2031-135,SITE-1322,National Medical Center - Brazil,Dr. Mueller,Brazil,Latin America,-15.812114906426238,-50.49089687700239,Active,2023-09-02,74,18,18,5.0,2.74,6,0.717,6.8,1,3,2,10,2026-01-13
BIO-2031-135,SITE-1323,Academic Health System - Brazil,Dr. Schmidt,Brazil,Latin America,-16.2565860094346,-50.75626354751195,Active,2023-08-01,42,18,13,30.6,2.19,10,0.779,5.7,1,2,9,14,2026-01-26
BIO-2031-135,SITE-1324,Academic Health System - Argentina,Dr. Rossi,Argentina,Latin America,-37.265139858117976,-63.5125733023932,Active,2023-08-31,72,13,10,26.9,2.7,7,0.607,5.1,3,0,2,13,2025-12-25
BIO-2031-135,SITE-1325,Clinical Research Center - Japan,Dr. O'Brien,Japan,Asia-Pacific,33.38867573035369,139.55898047802452,Active,2023-09-15,87,19,13,34.5,1.8,8,0.826,6.5,3,0,8,16,2026-01-26
BIO-2031-135,SITE-1326,Memorial Cancer Center - Canada,Dr. Williams,Canada,North America,55.87155122523441,-104.23124957280453,Pending,2023-09-24,96,16,11,32.5,1.61,7,0.753,0.0,1,1,1,10,2026-01-07
BIO-2031-135,SITE-1327,Health Sciences Center - Spain,Dr. Thompson,Spain,Europe,40.724350300761266,-1.1150028149451554,Active,2023-09-24,96,6,5,23.6,1.4,11,0.758,3.6,1,1,2,13,2026-01-06
BIO-2031-135,SITE-1328,National Medical Center - Spain,Dr. Anderson,Spain,Europe,38.37509386854269,-2.6548142628104223,Active,2023-12-03,166,20,14,32.0,3.31,12,0.732,9.9,1,0,3,7,2026-01-03
BIO-2031-135,SITE-1329,Clinical Research Center - Argentina,Dr. Martinez,Argentina,Latin America,-40.22135210866328,-62.91692432995366,Active,2023-10-02,104,13,11,17.7,2.72,8,0.906,1.2,1,0,9,12,2026-01-27
BIO-2031-135,SITE-1330,National Medical Center - Argentina,Dr. Tanaka,Argentina,Latin America,-36.1247739744877,-66.52193871944476,Pending,2023-09-01,73,6,5,16.8,0.99,9,0.532,5.9,3,0,3,11,2026-01-31
BIO-2031-135,SITE-1331,Community Health Network - Japan,Dr. Brown,Japan,Asia-Pacific,35.09130042426372,135.8918065420343,Active,2023-10-26,128,18,10,47.1,2.38,11,0.696,0.7,1,0,2,17,2026-01-17
BIO-2031-135,SITE-1332,Biomedical Research Institute - South Korea,Dr. Patel,South Korea,Asia-Pacific,35.37111369886698,129.06547593280968,Active,2023-11-28,161,22,18,20.2,3.03,12,0.529,3.8,3,0,3,16,2025-12-31
BIO-2031-135,SITE-1333,Health Sciences Center - India,Dr. Mueller,India,Asia-Pacific,18.390462797791788,79.98142652306271,Active,2023-09-18,90,1,1,8.2,0.26,6,0.779,4.3,3,0,6,7,2026-02-06
BIO-2031-135,SITE-1334,Regional Research Institute - United States,Dr. Williams,United States,North America,36.85070897637476,-96.46475228176325,Active,2023-09-02,74,11,8,28.2,1.22,13,0.624,7.0,2,0,3,6,2026-02-11
BIO-2031-135,SITE-1335,Biomedical Research Institute - Argentina,Dr. Williams,Argentina,Latin America,-39.748583364413264,-66.14878782742319,Active,2023-09-06,78,2,2,21.6,0.23,9,0.546,0.0,3,0,7,11,2026-02-04
BIO-2031-135,SITE-1336,Comprehensive Care Center - Japan,Dr. Yamamoto,Japan,Asia-Pacific,38.483903464787474,137.67746713753527,Active,2023-08-22,63,21,16,26.9,2.08,5,0.895,2.8,1,1,1,6,2026-01-12
BIO-2031-135,SITE-1337,Health Sciences Center - India,Dr. Singh,India,Asia-Pacific,17.824117618613332,78.57063998230797,Active,2023-10-27,129,7,5,28.6,0.98,7,0.718,2.2,1,1,6,13,2026-01-21
BIO-2031-135,SITE-1338,Clinical Research Center - France,Dr. Mueller,France,Europe,48.15872191472988,4.682590019822792,Pending,2023-10-11,113,32,28,15.0,3.31,13,0.7,9.2,1,0,11,15,2026-02-06
BIO-2031-135,SITE-1339,National Medical Center - United States,Dr. Lee,United States,North America,39.69686055997022,-99.5615735895655,Active,2023-09-15,87,13,11,21.1,1.06,7,1.0,2.7,0,0,8,14,2026-01-14
BIO-2031-135,SITE-1340,University Medical Center - France,Dr. O'Brien,France,Europe,47.23713022685815,4.25822168156622,Active,2023-09-20,92,10,8,27.0,1.33,9,0.865,6.6,1,1,7,13,2026-02-11
BIO-2031-135,SITE-1341,Translational Research Hospital - France,Dr. O'Brien,France,Europe,43.855676672208965,3.966305350557138,Active,2023-09-30,102,7,4,47.0,0.67,7,0.749,7.9,2,0,6,15,2026-01-17
BIO-2031-135,SITE-1342,Metropolitan Hospital - Spain,Dr. Dubois,Spain,Europe,38.13576829986804,-4.099217801601258,Active,2023-09-13,85,30,26,15.7,2.68,13,0.733,4.6,2,0,8,14,2026-02-11
BIO-2031-135,SITE-1343,Teaching Hospital - Spain,Dr. Thompson,Spain,Europe,43.10363822947924,-2.3219295181165522,Active,2023-11-04,137,9,9,5.4,1.51,12,0.49,10.7,0,0,6,9,2026-01-15
BIO-2031-135,SITE-1344,Medical Research Clinic - France,Dr. Rossi,France,Europe,45.18609755696937,3.641818359394505,Active,2023-10-11,113,12,10,21.0,1.29,12,0.628,4.5,2,1,6,14,2025-12-27
BIO-2031-135,SITE-1345,Biomedical Research Institute - Argentina,Dr. Silva,Argentina,Latin America,-41.266783122072894,-64.77765689020904,Pending,2023-09-18,90,10,8,21.9,1.07,7,0.857,3.5,2,0,9,16,2025-12-24
BIO-2031-135,SITE-1346,National Medical Center - Argentina,Dr. Thompson,Argentina,Latin America,-39.60929603311344,-62.77144364522129,Active,2023-07-29,39,10,7,30.7,1.2,6,0.621,0.7,2,1,3,16,2026-01-23
BIO-2031-135,SITE-1347,Academic Health System - Canada,Dr. Lopez,Canada,North America,55.53749457586143,-104.67376977853087,Active,2023-10-15,117,9,8,19.0,1.49,13,0.755,7.2,0,0,9,7,2026-01-05
BIO-2031-135,SITE-1348,Metropolitan Hospital - United States,Dr. O'Brien,United States,North America,38.74550524311182,-100.83379046185684,Active,2023-09-09,81,16,12,27.9,1.45,6,0.824,2.6,0,0,5,9,2026-01-22
BIO-2031-135,SITE-1349,Teaching Hospital - Argentina,Dr. Garcia,Argentina,Latin America,-40.31602380658554,-65.8198424660992,Active,2023-10-29,131,31,21,33.7,2.9,6,1.0,3.6,1,0,11,15,2026-02-01
BIO-2031-135,SITE-1350,Community Health Network - South Korea,Dr. Lopez,South Korea,Asia-Pacific,33.058681415586,126.71334321017994,Closed,2023-10-26,128,1,1,38.1,0.47,12,0.513,1.9,3,0,7,11,2025-12-25
BIO-2031-135,SITE-1351,Institute of Clinical Sciences - South Korea,Dr. Rossi,South Korea,Asia-Pacific,33.971773260525794,126.72648798040909,Active,2023-09-04,76,14,9,36.7,1.4,9,0.825,5.0,0,0,10,16,2026-01-26
BIO-2031-135,SITE-1352,Academic Health System - Argentina,Dr. Anderson,Argentina,Latin America,-40.63972358859456,-63.20222313765548,Active,2023-07-20,30,19,16,18.0,2.3,7,0.72,6.7,4,0,8,16,2026-01-27
BIO-2031-135,SITE-1353,Teaching Hospital - Argentina,Dr. Lee,Argentina,Latin America,-41.3379264211638,-62.842955557236635,Active,2023-09-13,85,26,15,43.9,2.52,10,0.843,6.2,3,0,9,17,2026-01-27
BIO-2031-135,SITE-1354,Institute of Clinical Sciences - Spain,Dr. Lopez,Spain,Europe,40.970278069542566,-6.158825798798534,Active,2023-11-03,136,6,6,5.0,1.1,5,0.564,6.5,2,0,3,8,2026-01-08
BIO-2031-135,SITE-1355,Institute of Clinical Sciences - South Korea,Dr. Johnson,South Korea,Asia-Pacific,36.03975477733397,126.76445296022214,Closed,2023-10-11,113,22,15,34.6,2.3,11,0.566,11.6,1,0,11,17,2026-01-18
BIO-2031-135,SITE-1356,Academic Health System - United States,Dr. Lopez,United States,North America,38.6517958911437,-100.71805631978603,Active,2023-08-28,69,12,10,21.7,1.96,10,0.857,6.5,3,0,8,14,2026-01-04
BIO-2031-135,SITE-1357,Memorial Cancer Center - Canada,Dr. Anderson,Canada,North America,59.009747817754985,-107.44163089763481,Active,2023-09-01,73,1,1,21.6,0.43,7,0.933,2.3,1,0,8,6,2025-12-24
BIO-2031-135,SITE-1358,Comprehensive Care Center - Spain,Dr. Yamamoto,Spain,Europe,43.184324780788934,-6.1265533140243935,Active,2023-10-02,104,20,17,17.0,2.34,5,0.845,3.8,4,0,4,13,2025-12-16
BIO-2031-135,SITE-1359,National Medical Center - France,Dr. Fischer,France,Europe,46.011909821978314,4.831469437516199,Active,2023-09-22,94,32,20,37.8,2.78,13,0.772,4.7,1,0,4,13,2026-01-23
BIO-2031-135,SITE-1360,Biomedical Research Institute - Brazil,Dr. Petrov,Brazil,Latin America,-11.89554822213889,-52.187468937966166,Pending,2023-08-28,69,12,10,19.8,2.38,5,0.611,0.0,0,0,9,10,2026-01-26
BIO-2031-135,SITE-1361,Biomedical Research Institute - South Korea,Dr. Nakamura,South Korea,Asia-Pacific,37.62409309045824,127.94801229620761,Active,2023-09-10,82,26,20,23.5,3.28,5,0.417,0.8,3,1,4,10,2026-01-24
BIO-2031-135,SITE-1362,Biomedical Research Institute - Argentina,Dr. Petrov,Argentina,Latin America,-40.39766598318728,-60.64301504733182,Active,2023-10-05,107,6,5,27.2,0.55,7,0.898,8.1,0,1,4,16,2026-01-21
